City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Bambous Virieux,31,MU,1626970331,68,-20.3428,57.7575,71.22,16.31
Kaeo,9,NZ,1626970332,95,-35.1,173.7833,47.32,3.47
Mar del Plata,90,AR,1626970151,58,-38.0023,-57.5575,56.88,13.0
Hithadhoo,100,MV,1626970332,78,-0.6,73.0833,80.98,12.64
Dunedin,0,NZ,1626970332,69,-45.8742,170.5036,42.8,5.03
Fortuna,22,US,1626970212,87,40.5982,-124.1573,57.92,5.21
Pemba,4,MZ,1626970253,73,-12.974,40.5178,76.32,11.97
Ponta do Sol,0,PT,1626970333,62,32.6667,-17.1,84.7,6.15
Keroka,23,KE,1626970333,75,-0.7758,34.9453,58.78,3.36
Hermanus,58,ZA,1626970126,66,-34.4187,19.2345,51.91,8.03
Airai,1,TL,1626970310,56,-8.9266,125.4092,55.08,2.1
Viedma,99,AR,1626970334,23,-40.8135,-62.9967,65.34,15.32
Saint-Philippe,52,RE,1626970334,74,-21.3585,55.7679,69.39,12.71
Chapais,100,CA,1626970335,33,49.7834,-74.8492,70.03,7.81
Kruisfontein,100,ZA,1626970335,74,-34.0033,24.7314,43.88,18.45
Senanga,3,ZM,1626970335,13,-16.1167,23.2667,72.75,7.72
Øksfjord,100,NO,1626970335,88,70.2396,22.3479,51.01,11.41
Qaanaaq,69,GL,1626970336,68,77.484,-69.3632,44.24,6.13
Ust-Maya,50,RU,1626970336,94,60.4167,134.5333,58.6,2.48
New Norfolk,100,AU,1626970336,63,-42.7826,147.0587,50.92,1.01
Tuktoyaktuk,93,CA,1626970337,88,69.4541,-133.0374,44.55,17.54
Letterkenny,100,IE,1626970337,52,54.95,-7.7333,80.53,7.2
Mataura,9,NZ,1626970338,97,-46.1927,168.8643,40.48,2.42
Hong Kong,53,HK,1626970103,81,22.2855,114.1577,85.32,1.01
Estación Coahuila,70,MX,1626970338,45,32.1939,-115.0017,97.61,17.18
Puerto del Rosario,20,ES,1626970338,51,28.5004,-13.8627,82.15,21.85
Ixtapa,40,MX,1626970339,74,20.7,-105.2,88.23,4.61
Vaini,20,TO,1626970339,94,-21.2,-175.2,69.96,3.44
Bredasdorp,52,ZA,1626970339,77,-34.5322,20.0403,48.27,3.29
Bubaque,85,GW,1626970340,80,11.2833,-15.8333,81.39,15.28
Yenagoa,100,NG,1626970340,78,4.9247,6.2642,79.86,6.53
Olafsvik,100,IS,1626970340,97,64.8945,-23.7142,52.25,15.64
Saint Anthony,20,US,1626970341,64,45.0205,-93.218,85.03,3.0
Upernavik,100,GL,1626970260,92,72.7868,-56.1549,41.63,5.26
Lázaro Cárdenas,80,MX,1626970341,78,17.9583,-102.2,81.54,3.62
Cape Town,36,ZA,1626970342,70,-33.9258,18.4232,53.35,1.01
Khanbari,61,NP,1626970342,88,27.3747,87.2039,74.28,2.91
Lat Yao,99,TH,1626970342,68,15.751,99.7893,82.27,7.72
Ilulissat,75,GL,1626970343,50,69.2167,-51.1,50.02,10.36
Haines Junction,95,CA,1626970343,67,60.7522,-137.5108,54.1,5.19
Fairbanks,75,US,1626970339,73,64.8378,-147.7164,64.74,0.0
Harper,70,LR,1626970156,71,4.375,-7.7169,79.7,11.1
Bandarbeyla,83,SO,1626970344,79,9.4942,50.8122,78.91,29.06
Grindavik,90,IS,1626970344,100,63.8424,-22.4338,56.55,19.57
Lagoa,54,PT,1626970200,75,39.05,-27.9833,67.57,15.14
Yar-Sale,6,RU,1626970216,56,66.8333,70.8333,53.58,8.48
Fort Nelson,77,CA,1626970186,70,58.8053,-122.7002,61.56,4.54
Chimbote,58,PE,1626970345,71,-9.0853,-78.5783,67.93,10.22
Codrington,100,AU,1626970345,93,-38.2667,141.9667,43.02,11.54
Znamenskoye,78,RU,1626970346,72,57.1281,73.8282,70.12,9.28
Krasnyy,17,RU,1626970346,53,54.5678,31.4333,69.57,6.98
Ancud,100,CL,1626970346,94,-41.8697,-73.8203,53.13,14.29
Bethel,1,US,1626970216,62,41.3712,-73.414,80.58,1.01
Thompson,1,CA,1626970109,60,55.7435,-97.8558,73.56,6.91
Yulara,4,AU,1626970347,50,-25.2406,130.9889,51.64,8.05
Provideniya,100,RU,1626970249,79,64.3833,-173.3,42.64,3.11
Dindigul,100,IN,1626970347,59,10.35,77.95,86.34,9.55
Requena,0,ES,1626970348,17,39.4883,-1.1004,89.01,10.89
Cayenne,75,GF,1626970348,75,4.9333,-52.3333,87.1,4.0
Teknāf,100,BD,1626970348,87,20.8624,92.3058,81.43,19.22
Panguna,96,PG,1626970349,97,-6.3164,155.4848,69.06,2.82
Iaciara,3,BR,1626970349,25,-14.0958,-46.6317,88.25,6.78
Tezu,19,IN,1626970349,86,27.9167,96.1667,79.59,4.7
Port Elizabeth,100,ZA,1626970119,65,-33.918,25.5701,46.09,22.12
Havøysund,98,NO,1626970350,74,70.9963,24.6622,44.83,23.85
Chokurdakh,66,RU,1626970350,82,70.6333,147.9167,38.12,7.87
Banda Aceh,59,ID,1626970351,79,5.5577,95.3222,80.71,12.41
Jhanjhārpur,88,IN,1626970351,73,26.2667,86.2833,87.08,6.51
Alpena,20,US,1626970352,52,45.0617,-83.4327,71.74,0.0
Eureka,0,US,1626970152,87,40.8021,-124.1637,58.19,1.99
Khatanga,62,RU,1626970352,89,71.9667,102.5,53.6,7.4
Vestmannaeyjar,90,IS,1626970353,100,63.4427,-20.2734,52.79,16.11
Oistins,40,BB,1626970353,70,13.0667,-59.5333,86.09,20.71
Cherskiy,100,RU,1626970353,63,68.75,161.3,56.32,4.81
Hofn,20,IS,1626970353,82,64.2539,-15.2082,57.22,17.27
Arraial do Cabo,20,BR,1626970354,60,-22.9661,-42.0278,75.06,9.22
Nyimba,8,ZM,1626970354,30,-14.5566,30.8149,77.92,6.6
Delmas 73,71,HT,1626970355,38,18.5447,-72.3028,93.92,23.02
Champerico,20,GT,1626970355,66,14.3,-91.9167,91.94,1.36
Khudumelapye,0,BW,1626970355,13,-23.8833,24.75,49.01,8.63
Ribeira Grande,40,PT,1626970356,60,38.5167,-28.7,73.8,11.5
Kavieng,48,PG,1626970356,79,-2.5744,150.7967,81.59,11.1
Roald,75,NO,1626970356,82,62.5833,6.1333,63.1,5.75
Hūn,0,LY,1626970357,24,29.1268,15.9477,93.6,12.82
Xinglongshan,65,CN,1626970357,90,43.9561,125.4661,73.69,6.53
Sitka,75,US,1626970357,72,57.0531,-135.33,58.89,0.0
Tautira,17,PF,1626970358,72,-17.7333,-149.15,71.62,12.03
Birigui,0,BR,1626970358,13,-21.2886,-50.34,86.5,9.33
East London,89,ZA,1626970359,77,-33.0153,27.9116,50.14,26.84
Province of Mantua,22,IT,1626970359,56,45.1667,10.7833,92.08,5.01
Tuatapere,6,NZ,1626970359,88,-46.1333,167.6833,40.82,5.53
São José da Coroa Grande,16,BR,1626970217,64,-8.8978,-35.1478,79.7,13.38
Zabaykal'sk,95,RU,1626970360,91,49.6333,117.3167,66.42,4.92
Zhezkazgan,0,KZ,1626970360,25,47.8043,67.7144,81.36,10.83
Sinnamary,22,GF,1626970360,69,5.3833,-52.95,85.71,10.0
Mlonggo,39,ID,1626970361,81,-6.5333,110.7,79.02,5.32
Biak,100,ID,1626970361,89,-0.9131,122.8766,74.39,8.7
Hualmay,38,PE,1626970361,71,-11.0964,-77.6139,67.59,9.31
Aksarka,4,RU,1626970362,52,66.5606,67.7975,53.76,6.85
West Wendover,1,US,1626970362,39,40.7391,-114.0733,81.61,6.91
Katobu,85,ID,1626970363,95,-4.9408,122.5276,72.41,2.37
Narsaq,32,GL,1626970363,59,60.9167,-46.05,55.62,3.89
Te Anau,35,NZ,1626970363,92,-45.4167,167.7167,36.1,0.63
Sittwe,100,MM,1626970363,85,20.15,92.9,82.27,21.25
Alihe,42,CN,1626970364,98,50.5667,123.7167,69.06,2.04
Córdoba,0,AR,1626970260,18,-31.4135,-64.1811,77.85,18.41
Cabo San Lucas,1,MX,1626970205,58,22.8909,-109.9124,94.51,4.61
São Filipe,41,CV,1626970228,86,14.8961,-24.4956,76.15,9.73
Candating,100,PH,1626970365,97,15.1481,120.822,77.13,5.46
Korla,90,CN,1626970365,20,41.7597,86.1469,88.93,5.19
Faanui,7,PF,1626970243,75,-16.4833,-151.75,78.22,15.23
Kieta,92,PG,1626970365,87,-6.2167,155.6333,78.6,2.64
Waitara,53,NZ,1626970365,83,-38.925,174.25,48.0,10.09
Jumla,98,NP,1626970366,95,29.2747,82.1838,64.96,0.74
High Level,100,CA,1626970367,62,58.5169,-117.136,59.81,8.66
Gamba,56,GA,1626970367,73,-2.65,10.0,74.35,10.74
Nantucket,1,US,1626970367,68,41.2835,-70.0995,78.26,17.27
Taltal,18,CL,1626970368,65,-25.4,-70.4833,62.49,4.36
Rome,1,US,1626970368,58,43.2128,-75.4557,75.81,1.01
Santa Marta,18,CO,1626970368,63,11.2408,-74.199,94.33,14.0
Puerto Escondido,1,MX,1626970369,70,15.85,-97.0667,88.63,0.0
Nikolskoye,96,RU,1626970369,47,59.7035,30.7861,69.69,11.07
Kathmandu,75,NP,1626970162,94,27.7167,85.3167,73.62,3.44
Bathsheba,40,BB,1626970369,70,13.2167,-59.5167,86.61,20.71
Pemangkat,99,ID,1626970370,75,1.1667,108.9667,81.72,8.3
Puerto Carreño,100,CO,1626970158,96,6.189,-67.4859,73.65,6.96
Santo Tomas,100,PH,1626970370,94,14.1079,121.1414,79.38,11.25
Tigre,0,AR,1626970370,51,-34.426,-58.5796,64.54,6.91
Sioux Lookout,21,CA,1626970149,39,50.1001,-91.917,76.82,8.23
Mayya,53,RU,1626970371,54,61.7333,130.2811,60.12,2.17
Poltavka,12,RU,1626970371,53,54.3663,71.7632,72.23,10.2
Saint Paul Harbor,90,US,1626970372,87,57.79,-152.4072,53.11,14.97
Vangaindrano,0,MG,1626970372,89,-23.35,47.6,67.06,7.65
Mount Gambier,90,AU,1626970372,93,-37.8333,140.7667,42.71,10.36
Rawson,100,AR,1626970373,37,-43.3002,-65.1023,58.05,10.04
Beringovskiy,29,RU,1626970373,89,63.05,179.3167,47.08,5.95
Fairview,1,US,1626970373,47,40.8126,-73.999,81.55,0.0
Camaná,58,PE,1626970374,73,-16.6228,-72.7111,65.25,7.25
San Patricio,95,US,1626970374,76,28.017,-97.5169,86.09,1.25
Barrow,90,US,1626970220,93,71.2906,-156.7887,35.62,13.8
Hokitika,2,NZ,1626970375,83,-42.7167,170.9667,42.15,5.68
Kangaatsiaq,100,GL,1626970375,94,68.3065,-53.4641,40.77,5.06
Dawei,100,MM,1626970375,90,14.0833,98.2,78.66,8.86
Ponta Delgada,20,PT,1626970256,57,37.7333,-25.6667,75.92,12.66
Garden City,75,US,1626970188,48,42.3256,-83.331,75.99,0.0
Acarí,54,PE,1626970376,58,-15.4311,-74.6158,72.19,6.33
Kahului,20,US,1626970376,83,20.8947,-156.47,74.46,11.5
Arlit,33,NE,1626970376,17,18.7369,7.3853,106.02,2.68
Lebu,84,CL,1626970377,71,-37.6167,-73.65,54.48,3.58
Iqaluit,99,CA,1626970377,71,63.7506,-68.5145,49.69,15.99
Vilhena,0,BR,1626970377,22,-12.7406,-60.1458,88.75,6.51
Thinadhoo,100,MV,1626970378,73,0.5333,72.9333,82.27,9.26
Talakan,83,RU,1626970378,89,50.3167,130.3667,72.95,1.3
Tiksi,100,RU,1626970379,85,71.6872,128.8694,39.24,3.78
Longyearbyen,75,SJ,1626970379,62,78.2186,15.6401,49.84,14.97
Kisarawe,42,TZ,1626970379,79,-6.9,39.0667,72.03,7.14
Qarqīn,4,AF,1626970380,12,37.4185,66.0436,95.43,13.71
Stege,24,DK,1626970380,61,54.987,12.2846,70.2,9.55
Don Luan,100,VN,1626970381,92,11.5333,106.9167,74.82,3.27
Fort Payne,0,US,1626970324,55,34.4442,-85.7197,84.31,5.75
Mahenge,44,TZ,1626970382,78,-8.6833,36.7167,64.53,2.82
Sisimiut,100,GL,1626970382,91,66.9395,-53.6735,43.65,4.9
Luís Correia,40,BR,1626970382,41,-2.8792,-41.6669,95.0,8.05
Nordfjordeid,20,NO,1626970383,63,61.9063,5.9915,66.25,10.36
Philadelphia,75,US,1626970352,54,39.9523,-75.1638,80.76,3.0
Salalah,75,OM,1626970347,89,17.0151,54.0924,80.69,6.91
Tevaitoa,9,PF,1626970383,74,-16.7833,-151.5,77.81,15.79
Port Moresby,21,PG,1626970384,87,-9.4431,147.1797,73.49,10.04
Anadyr,76,RU,1626970384,81,64.75,177.4833,44.01,5.99
Laurel,1,US,1626970384,46,39.0993,-76.8483,82.74,1.01
Bourail,4,NC,1626970385,83,-21.5667,165.4833,64.4,0.85
Saskylakh,88,RU,1626970385,64,71.9167,114.0833,59.13,14.9
San Cristobal,99,VE,1626970386,89,7.7669,-72.225,80.78,6.06
Avera,5,US,1626970386,63,33.194,-82.5271,89.91,3.42
Lavrentiya,100,RU,1626970344,94,65.5833,-171.0,37.36,5.06
Samarai,100,PG,1626970387,78,-10.6167,150.6667,77.41,11.52
Severo-Kuril'sk,62,RU,1626970387,94,50.6789,156.125,49.32,5.32
Gallup,1,US,1626970387,64,35.5281,-108.7426,74.16,3.44
Aleksandrov,40,RU,1626970387,50,56.4,38.71,65.43,5.55
Lüderitz,4,NA,1626970324,41,-26.6481,15.1594,62.89,21.79
Oranjemund,6,NA,1626970388,52,-28.55,16.4333,59.18,19.08
Chepo,99,PA,1626970388,80,9.1667,-79.1,91.18,5.01
Rørvik,100,NO,1626970389,79,64.8621,11.2373,53.58,18.97
Kralendijk,75,BQ,1626970389,66,12.15,-68.2667,87.78,23.02
Belle Fourche,54,US,1626970389,28,44.6714,-103.8522,93.34,7.87
Nanortalik,57,GL,1626970390,83,60.1432,-45.2371,45.46,13.58
Pisco,90,PE,1626970390,77,-13.7,-76.2167,62.65,8.05
Murgab,3,TM,1626970390,26,37.4966,61.9714,94.87,0.0
Mehamn,75,NO,1626970300,81,71.0357,27.8492,44.78,16.11
Kungurtug,100,RU,1626970391,70,50.5994,97.5228,60.67,0.69
Pavlovskiy,100,RU,1626970391,96,57.8424,54.8436,57.81,11.1
Marabu,98,MY,1626970391,79,4.4148,114.0089,80.67,3.42
Richards Bay,35,ZA,1626970392,33,-28.783,32.0377,62.31,14.61
Souillac,20,MU,1626970392,72,-20.5167,57.5167,71.37,14.14
Dikson,100,RU,1626970246,97,73.5069,80.5464,50.79,28.03
Palmer,40,US,1626970393,52,42.1584,-72.3287,80.62,1.99
George Town,20,MY,1626970393,66,5.4112,100.3354,85.95,5.75
Linxia Chengguanzhen,91,CN,1626970394,67,35.6003,103.2064,67.32,2.44
Flagstaff,1,US,1626970195,57,35.1981,-111.6513,74.79,1.99
Coolum Beach,12,AU,1626970394,94,-26.5333,153.1,52.34,4.7
Talcahuano,90,CL,1626970395,93,-36.7167,-73.1167,47.88,5.75
Kutum,88,SD,1626970395,56,14.2,24.6667,77.23,6.82
Semnan,39,IR,1626970395,14,35.5729,53.3971,93.85,6.2
Enshi,56,CN,1626970395,94,30.3,109.4833,74.26,0.27
Bengkulu,40,ID,1626970362,84,-3.8004,102.2655,76.19,3.76
Coahuayana Viejo,100,MX,1626970396,66,18.7333,-103.6833,87.28,0.22
Hirara,100,JP,1626970396,89,24.8,125.2833,81.95,65.63
Mahébourg,28,MU,1626970397,68,-20.4081,57.7,71.26,16.26
Ciudad del Maíz,62,MX,1626970397,63,22.4,-99.6,74.05,6.04
Constitución,100,CL,1626970397,69,-35.3333,-72.4167,59.92,5.35
Cowansville,72,CA,1626970397,66,45.2001,-72.7491,72.95,9.31
Nichlaul,100,IN,1626970398,82,27.3167,83.7333,83.43,7.2
Zabul Province,53,AF,1626970398,15,32.25,67.25,81.75,1.59
Half Moon Bay,20,US,1626970399,78,37.4636,-122.4286,71.53,11.5
Timrå,75,SE,1626970399,42,62.487,17.3257,65.88,16.11
Muslyumovo,97,RU,1626970399,86,55.3033,53.1947,60.71,14.65
Marawi,100,PH,1626970399,89,7.9986,124.2928,73.65,6.29
Alta Floresta,0,BR,1626970263,18,-9.8756,-56.0861,95.49,7.23
Shelburne,59,CA,1626970174,37,44.0787,-80.2041,74.68,9.44
Arrecife,20,ES,1626970257,61,28.963,-13.5477,82.47,26.46
Inuvik,90,CA,1626970400,94,68.3499,-133.7218,55.44,11.5
Barra de Tecoanapa,48,MX,1626970400,60,16.5167,-98.75,86.58,2.51
Kamenka,97,RU,1626970401,59,51.3223,42.7678,71.74,9.73
Dicabisagan,100,PH,1626970401,83,17.0818,122.4157,79.93,6.8
Broome,40,US,1626970401,61,42.2506,-75.833,73.47,3.0
Dwārka,100,IN,1626970402,83,22.2394,68.9678,83.73,18.92
Presidencia Roque Sáenz Peña,0,AR,1626970402,23,-26.7852,-60.4388,79.0,7.83
Jaisinghnagar,100,IN,1626970403,85,23.7,81.3833,80.17,5.17
Lagan,77,RU,1626970403,49,45.3929,47.3707,87.26,13.65
Grand Gaube,16,MU,1626970403,64,-20.0064,57.6608,71.38,7.0
Koindu,79,GN,1626970404,88,8.4386,-10.3253,77.83,4.54
Maumere,5,ID,1626970404,77,-8.6199,122.2111,75.63,5.03
Abhar,6,IR,1626970404,30,36.1468,49.218,86.29,9.55
Port Hawkesbury,90,CA,1626970405,97,45.6169,-61.3485,66.58,3.0
Bouloupari,20,NC,1626970405,88,-21.8667,166.05,60.71,1.45
Libušín,0,CZ,1626970405,46,50.1682,14.0546,79.63,4.61
Zavodouspenskoye,87,RU,1626970406,75,56.8626,65.0155,79.02,7.05
Sangar,5,RU,1626970406,65,63.9242,127.4739,60.22,2.39
Bonavista,100,CA,1626970406,85,48.6499,-53.1147,54.12,11.48
São João da Barra,93,BR,1626970124,64,-21.6403,-41.0511,77.09,7.45
Makakilo City,1,US,1626970407,68,21.3469,-158.0858,77.32,4.61
Aklavik,75,CA,1626970407,88,68.2191,-135.0107,55.4,14.97
Qaqortoq,35,GL,1626970408,72,60.7167,-46.0333,55.9,5.53
Uncia,0,BO,1626970408,25,-18.467,-66.5685,52.29,3.13
Laguna,1,US,1626970409,61,38.421,-121.4238,87.62,3.0
Katsuura,33,JP,1626970218,84,35.1333,140.3,80.11,5.32
Namatanai,75,PG,1626970409,82,-3.6667,152.4333,78.1,7.7
Port Hardy,90,CA,1626970409,88,50.6996,-127.4199,56.14,4.5
Quatre Cocos,29,MU,1626970410,68,-20.2078,57.7625,71.1,16.53
Saint George,1,US,1626970314,43,37.1041,-113.5841,90.25,3.0
Dongsheng,100,CN,1626970410,72,39.8161,109.9776,70.25,13.91
Safi,0,MA,1626970411,64,32.2994,-9.2372,77.2,22.86
Mirabela,25,BR,1626970411,28,-16.2628,-44.1644,81.7,7.09
Kailua,20,US,1626970321,68,21.4022,-157.7394,78.78,11.5
Witu,15,KE,1626970411,74,-2.3889,40.4382,77.16,13.82
Luganville,30,VU,1626970412,88,-15.5333,167.1667,76.64,0.31
Kiryat Gat,0,IL,1626970412,34,31.61,34.7642,84.81,9.69
Saint-Pierre,0,RE,1626970413,72,-21.3393,55.4781,69.48,4.61
Jiazi,96,CN,1626970413,79,22.8779,116.067,81.5,10.94
Klyuchi,18,RU,1626970413,54,52.2667,79.1667,70.99,11.54
Saldanha,8,ZA,1626970414,64,-33.0117,17.9442,52.0,11.23
Portage,40,US,1626970414,50,41.1667,-81.1998,74.98,5.75
Nishihara,75,JP,1626970414,94,26.1842,127.7558,80.26,27.63
Yangi Marg`ilon,18,UZ,1626970415,18,40.4272,71.7189,81.82,5.7
Dakar,24,SN,1626970415,76,14.6937,-17.4441,86.88,17.83
Hashimoto,6,JP,1626970415,82,34.3167,135.6167,77.76,3.13
Khromtau,9,KZ,1626970416,38,50.2503,58.4347,80.98,12.71
Hamilton,1,US,1626970177,56,39.1834,-84.5333,79.11,1.01
Marsá Maţrūḩ,0,EG,1626970416,71,31.3525,27.2453,82.45,15.14
Egvekinot,93,RU,1626970261,89,66.3167,-179.1667,38.44,3.13
Asău,67,RO,1626970416,82,46.4333,26.4,72.39,5.7
Fomboni,4,KM,1626970417,72,-12.28,43.7425,77.29,14.12
Vila Franca do Campo,59,PT,1626970417,66,37.7167,-25.4333,75.61,9.51
Bosaso,72,SO,1626970417,45,11.2842,49.1816,91.99,5.19
Russell,90,US,1626970418,78,32.3502,-85.1999,87.06,0.0
Kasongo-Lunda,38,CD,1626970418,14,-6.4667,16.8167,92.41,5.64
Ejea de los Caballeros,0,ES,1626970418,14,42.1263,-1.1372,103.17,12.41
Eyrarbakki,100,IS,1626970418,92,63.863,-21.1481,55.2,12.71
Burnie,100,AU,1626970419,81,-41.0667,145.9167,51.93,15.41
Paita,15,PE,1626970419,69,-5.0892,-81.1144,75.76,12.77
Caravelas,65,BR,1626970420,57,-17.7125,-39.2481,77.25,8.99
Puerto Colombia,10,CO,1626970420,70,10.9878,-74.9547,93.29,17.98
Cidreira,7,BR,1626970420,64,-30.1811,-50.2056,61.5,13.13
Juneau,90,US,1626970296,96,58.3019,-134.4197,57.85,8.05
Ampanihy,39,MG,1626970421,62,-24.7,44.75,72.54,8.08
Calbuco,100,CL,1626970421,95,-41.768,-73.1273,51.01,11.77
Aksu,32,CN,1626970421,72,41.1231,80.2644,69.39,4.72
‘Āhuimanu,20,US,1626970421,67,21.4447,-157.8378,78.51,11.5
Bairiki Village,40,KI,1626970422,83,1.3292,172.9752,82.4,8.05
Tonj,89,SS,1626970422,80,7.2737,28.6822,76.55,6.38
Flinders,100,AU,1626970275,70,-34.5833,150.8552,55.38,5.99
Brae,72,GB,1626970422,78,60.3964,-1.353,55.31,11.63
Awjilah,5,LY,1626970423,26,29.1081,21.2869,94.91,14.38
Touros,90,BR,1626970423,61,-5.1989,-35.4608,85.1,20.96
Noumea,15,NC,1626970423,83,-22.2763,166.4572,60.78,4.43
Peniche,17,PT,1626970424,74,39.3558,-9.3811,80.08,8.95
Kvarkeno,25,RU,1626970424,37,52.0833,59.725,83.52,8.52
Petatlán,76,MX,1626970424,54,17.5167,-101.2667,84.0,2.08
Portland,90,US,1626969774,74,45.5234,-122.6762,64.89,1.01
Carbonia,0,IT,1626970425,37,39.1672,8.5222,92.84,11.05
Sur,1,OM,1626970425,56,22.5667,59.5289,93.74,2.95
Kloulklubed,79,PW,1626970425,76,7.0419,134.2556,84.79,17.2
Novoorsk,2,RU,1626970426,35,51.381,58.9813,85.35,8.5
Kinablangan,98,PH,1626970426,71,7.6947,126.5503,80.31,4.68
Thanh Hoa,100,VN,1626970264,86,19.8,105.7667,79.75,3.96
Kenai,90,US,1626970426,96,60.5544,-151.2583,55.09,8.05
Waidhofen,20,DE,1626970427,35,48.5833,11.3333,80.44,1.14
Itaituba,27,BR,1626970427,32,-4.2761,-55.9836,97.32,3.96
Inta,42,RU,1626970427,54,66.0317,60.1659,54.93,7.43
Praia da Vitória,77,PT,1626970428,65,38.7333,-27.0667,73.76,15.73
Cabedelo,36,BR,1626970428,72,-6.9811,-34.8339,77.67,20.47
Mehrān,0,IR,1626970429,14,33.1222,46.1646,105.66,19.57
San Antonio,1,US,1626970280,68,29.4241,-98.4936,86.5,6.91
Skibbereen,100,IE,1626970369,67,51.55,-9.2667,76.8,14.5
